comparison,seed42_dAUC,seed101_dAUC,seed2024_dAUC,seed42_p,seed101_p,seed2024_p,n_sig,pooled,ci_low,ci_high,p,I2,p_hksj
base vs paag,-0.021595827474661267,-0.0005882804468958502,-0.0011638940641635065,6.305952087422544e-23,0.5269449647316928,0.07386105331511504,1,-0.00738068061919984,-0.015057042976271346,0.0002956817378716656,0.05949686161309864,97.61656186494291,0.39119968414390544
base vs csm,-0.016398064542154756,0.0005579938675683849,0.00030160121793787464,1.2800074149989021e-21,0.34959844197757717,0.6014089756623513,1,-0.004836031726808443,-0.010761173766579358,0.0010891103129624718,0.10965869176363449,97.79791260451691,0.47322777975674996
base vs paag_csm,-0.02104122688424781,-0.0027137365212602793,0.0003033083946430981,9.818792829337755e-21,0.0042339220587383816,0.5735890719601522,2,-0.007387297099394791,-0.014992821439210643,0.00021822724042106032,0.056941288921430834,97.72274830799762,0.37719420754638444
paag vs csm,0.005197762932506511,0.0011462743144642351,0.0014654952821013811,4.992263090727761e-05,0.20935453376734325,0.06783598883669803,1,0.002409151736293221,0.0002547616013355634,0.004563541871250878,0.02839579183566477,73.48103469718485,0.19182961431368545
paag vs paag_csm,0.0005546005904134566,-0.002125456074364429,0.0014672024588066046,0.5033945656152861,0.03767579635188751,0.05448584990916744,1,6.18674869433104e-05,-0.0019044281237764259,0.002028163097663047,0.9508261072640413,75.18248374288312,0.9586861910914215
csm vs paag_csm,-0.0046431623420930546,-0.003271730388828664,1.7071767052234676e-06,0.000490056555145911,0.00021522751965461553,0.996567567426911,2,-0.002461833511020979,-0.005423080794440352,0.0004994137723983941,0.10321855608711875,90.1067976985646,0.21855498190652403
