Model,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,F1_Score,F1_CI_low,F1_CI_high,Precision,Recall,Specificity,Brier_Score,Mean_IoU,IoU_n_images
paag,0.8310652331609253,0.8228709965611076,0.8390897113392948,0.5471887550200804,0.532118831601326,0.5623666252727034,0.459915611814346,0.6753407682775713,0.8040616389427493,0.3398328423500061,0.39571982152433605,100
paag_csm,0.8305106325705119,0.8220854280783152,0.8386855764719661,0.5502214348981399,0.5348080289138498,0.56548982915262,0.4816997518610422,0.6414704667492772,0.8294723951423615,0.336092084646225,0.3444902768481964,100
csm,0.825867470228419,0.8173197318141744,0.8338483051028787,0.5365853658536586,0.5209805868153708,0.5521336560030231,0.45049088359046285,0.6633622470053697,0.8000816409837739,0.3549513518810272,0.35653081175626256,100
base,0.8094694056862641,0.8007056020053418,0.8182528761014364,0.5145296338860613,0.49924024127069583,0.5297359872413887,0.42697547683923703,0.6472532011565468,0.7853862639044801,0.35807254910469055,0.40687414340636147,100
