,base,paag,csm,paag_csm
base,,1.3878898030839082e-12,5.79058756500217e-09,0.0
paag,1.3878898030839082e-12,,0.012649706652132053,5.299094496535872e-13
csm,5.79058756500217e-09,0.012649706652132053,,1.1102230246251565e-16
paag_csm,0.0,5.299094496535872e-13,1.1102230246251565e-16,
