,base,paag,csm,paag_csm
base,,0.5275551847060522,5.1347560210668775e-09,1.1690386181290213e-08
paag,0.5275551847060522,,1.7996066352352184e-06,9.326190606652372e-12
csm,5.1347560210668775e-09,1.7996066352352184e-06,,0.011619983228257053
paag_csm,1.1690386181290213e-08,9.326190606652372e-12,0.011619983228257053,
