,base,paag,csm,paag_csm
base,,0.0,0.0,0.0
paag,0.0,,4.99226309071954e-05,0.5033945656152892
csm,0.0,4.99226309071954e-05,,0.0004900565551460012
paag_csm,0.0,0.5033945656152892,0.0004900565551460012,
