comparison,dAUC_CheXpert_minus_dAUC_ChestXray8,ci_low,ci_high,p,p_hksj
Base vs PAAG,-0.002631305705265705,-0.02290787169194008,0.017645260281408674,0.7992246180131934,0.842262544634807
Base vs CSM,-0.005602281552118375,-0.026357393233564525,0.015152830129327773,0.5967714334190082,0.677785993677321
Base vs Full model,-0.011558788661600332,-0.04193612697200732,0.018818549648806658,0.4557920812055585,0.5891845721102452
PAAG vs CSM,-0.0014969232172420655,-0.017755491689203012,0.014761645254718882,0.8567939533108295,0.8727567770597707
PAAG vs Full model,-0.0074763942264988725,-0.023345363233701094,0.008392574780703349,0.3557880670232839,0.3839953531605771
CSM vs Full model,-0.001976782707899365,-0.009912232856056483,0.005958667440257754,0.6253718289932169,0.603902077373807
