,mean,mean,mean,std,std,std
source,All,CheXpert,ChestX-ray8,All,CheXpert,ChestX-ray8
variant,,,,,,
Base,0.8174149292420219,0.7515043331642528,0.6076778567344605,0.008134058396535665,0.011851619382415995,0.025833228159146463
CSM,0.8225944190609047,0.7591588898927961,0.5993138936535164,0.005074777057642803,0.006803442694498195,0.010370369516972684
Full model,0.8252321475789768,0.76318987023858,0.5960630564404149,0.007421148403199414,0.010318015953557956,0.0033372502786699026
PAAG,0.8251975965705953,0.7630151138897839,0.5993098096871682,0.006497872192344418,0.008984272648840039,0.013293673686502897
